Molecule,P_app,P_app_error,Assay,pH,Efflux_effects,Efflux_ratio,P_app_ref,reference,P_app_comments,Other_Comments,Dosing_Concentration (uM)
Amiloride,0.0000017,nan,VB-Caco-2,7.4,NA,0.5,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Guanabenz,0.0000511,nan,VB-Caco-2,7.4,NA,0.9,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Lisinopril,0.0000016,nan,VB-Caco-2,7.4,NA,1.3,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",50
Cetirizine,0.0000061,nan,VB-Caco-2,7.4,NA,2.9,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Diazepam,0.0000709,nan,VB-Caco-2,7.4,NA,0.9,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Theophylline,0.0000362,nan,VB-Caco-2,7.4,NA,1.2,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Varenicline,0.0000504,nan,VB-Caco-2,7.4,NA,0.9,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Donepezil,0.0000483,nan,VB-Caco-2,7.4,NA,1.1,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Galantamine,0.0000528,nan,VB-Caco-2,7.4,NA,1,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Aniracetam,0.0000934,nan,VB-Caco-2,7.4,NA,0.7,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
SB-258585,0.0000245,nan,VB-Caco-2,7.4,NA,2.1,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Dextromethorphan,0.000059,nan,VB-Caco-2,7.4,NA,0.8,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Dextrorphan,0.0000402,nan,VB-Caco-2,7.4,NA,1.1,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Clomipramine,0.0000147,nan,VB-Caco-2,7.4,NA,0.8,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Escitalopram,0.0000392,nan,VB-Caco-2,7.4,NA,0.9,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Duloxetine,0.0000166,nan,VB-Caco-2,7.4,NA,0.9,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Riluzole,0.0000855,nan,VB-Caco-2,7.4,NA,0.9,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Desipramine,0.0000315,nan,VB-Caco-2,7.4,NA,0.9,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Venlafaxine,0.0000504,nan,VB-Caco-2,7.4,NA,0.8,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Rhodamine 123,0.0000002,nan,VB-Caco-2,7.4,NA,19.7,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",1
Alprenolol,0.0000365,nan,MDCK-MDR1,7.4,NA,1.1,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Labetalol,0.0000034,nan,MDCK-MDR1,7.4,NA,11.3,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Risperidone,0.0000292,nan,MDCK-MDR1,7.4,NA,1.6,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Sulfadiazine,0.0000048,nan,MDCK-MDR1,7.4,NA,0.9,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Amiloride,0.0000046,nan,MDCK-MDR1,7.4,NA,0.9,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Guanabenz,0.0000434,nan,MDCK-MDR1,7.4,NA,1,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Lisinopril,0.0000069,nan,MDCK-MDR1,7.4,NA,0.8,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",50
Cetirizine,0.0000029,nan,MDCK-MDR1,7.4,NA,4,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Diazepam,0.0000605,nan,MDCK-MDR1,7.4,NA,1,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Theophylline,0.0000342,nan,MDCK-MDR1,7.4,NA,0.9,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Varenicline,0.0000473,nan,MDCK-MDR1,7.4,NA,1.3,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Donepezil,0.0000385,nan,MDCK-MDR1,7.4,NA,1.2,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Galantamine,0.0000394,nan,MDCK-MDR1,7.4,NA,1.4,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Aniracetam,0.0000809,nan,MDCK-MDR1,7.4,NA,1.3,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
SB-258585,0.0000116,nan,MDCK-MDR1,7.4,NA,2.2,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Dextromethorphan,0.0000533,nan,MDCK-MDR1,7.4,NA,1.2,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Dextrorphan,0.0000213,nan,MDCK-MDR1,7.4,NA,2,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Clomipramine,0.0000081,nan,MDCK-MDR1,7.4,NA,1.1,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Escitalopram,0.0000217,nan,MDCK-MDR1,7.4,NA,1.8,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Duloxetine,0.0000124,nan,MDCK-MDR1,7.4,NA,1,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Riluzole,0.0000875,nan,MDCK-MDR1,7.4,NA,0.9,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Desipramine,0.0000131,nan,MDCK-MDR1,7.4,NA,1.4,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Venlafaxine,0.0000351,nan,MDCK-MDR1,7.4,NA,1.5,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Rhodamine 123,0.0000002,nan,MDCK-MDR1,7.4,NA,3.3,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",1
Inogatran,0.0000001,0.00000002,cMdr1 KO MDCK,7.4,genetically engineered canine P-Glycoprotein (cMdr1) knockout (KO) MDCK cell line,1.27,https://doi.org/10.1021/acs.molpharmaceut.5c00755,beran et al 2025,apical-to-basolateral transwell measurement,"The cells were plated at a seeding density of 340,000 cells/cm2 on porous membrane inserts (Millicell 96-well, 0.4 μm pore size, MilliporeSigma, Burlington, MA) and cultured in the absence of puromycin for 4 days at 37 °C in a humidified atmosphere of 5% CO2.",150
Furosemide,0.00000031,0.00000008,cMdr1 KO MDCK,7.4,genetically engineered canine P-Glycoprotein (cMdr1) knockout (KO) MDCK cell line,1.12,https://doi.org/10.1021/acs.molpharmaceut.5c00755,beran et al 2025,apical-to-basolateral transwell measurement,"The cells were plated at a seeding density of 340,000 cells/cm2 on porous membrane inserts (Millicell 96-well, 0.4 μm pore size, MilliporeSigma, Burlington, MA) and cultured in the absence of puromycin for 4 days at 37 °C in a humidified atmosphere of 5% CO2.",150
Terbutaline,0.00000011,0.00000003,cMdr1 KO MDCK,7.4,genetically engineered canine P-Glycoprotein (cMdr1) knockout (KO) MDCK cell line,1.2,https://doi.org/10.1021/acs.molpharmaceut.5c00755,beran et al 2025,apical-to-basolateral transwell measurement,"The cells were plated at a seeding density of 340,000 cells/cm2 on porous membrane inserts (Millicell 96-well, 0.4 μm pore size, MilliporeSigma, Burlington, MA) and cultured in the absence of puromycin for 4 days at 37 °C in a humidified atmosphere of 5% CO2.",150
Atenolol,0.00000059,0.0000001,cMdr1 KO MDCK,7.4,genetically engineered canine P-Glycoprotein (cMdr1) knockout (KO) MDCK cell line,1.1,https://doi.org/10.1021/acs.molpharmaceut.5c00755,beran et al 2025,apical-to-basolateral transwell measurement,"The cells were plated at a seeding density of 340,000 cells/cm2 on porous membrane inserts (Millicell 96-well, 0.4 μm pore size, MilliporeSigma, Burlington, MA) and cultured in the absence of puromycin for 4 days at 37 °C in a humidified atmosphere of 5% CO2.",150
Ranitidine,0.00000022,0.00000006,cMdr1 KO MDCK,7.4,genetically engineered canine P-Glycoprotein (cMdr1) knockout (KO) MDCK cell line,1.37,https://doi.org/10.1021/acs.molpharmaceut.5c00755,beran et al 2025,apical-to-basolateral transwell measurement,"The cells were plated at a seeding density of 340,000 cells/cm2 on porous membrane inserts (Millicell 96-well, 0.4 μm pore size, MilliporeSigma, Burlington, MA) and cultured in the absence of puromycin for 4 days at 37 °C in a humidified atmosphere of 5% CO2.",150
Cimetidine,0.00000024,0.00000004,cMdr1 KO MDCK,7.4,genetically engineered canine P-Glycoprotein (cMdr1) knockout (KO) MDCK cell line,1.05,https://doi.org/10.1021/acs.molpharmaceut.5c00755,beran et al 2025,apical-to-basolateral transwell measurement,"The cells were plated at a seeding density of 340,000 cells/cm2 on porous membrane inserts (Millicell 96-well, 0.4 μm pore size, MilliporeSigma, Burlington, MA) and cultured in the absence of puromycin for 4 days at 37 °C in a humidified atmosphere of 5% CO2.",150
Amiloride,0.00000365,0.00000097,cMdr1 KO MDCK,7.4,genetically engineered canine P-Glycoprotein (cMdr1) knockout (KO) MDCK cell line,0.08,https://doi.org/10.1021/acs.molpharmaceut.5c00755,beran et al 2025,apical-to-basolateral transwell measurement,"The cells were plated at a seeding density of 340,000 cells/cm2 on porous membrane inserts (Millicell 96-well, 0.4 μm pore size, MilliporeSigma, Burlington, MA) and cultured in the absence of puromycin for 4 days at 37 °C in a humidified atmosphere of 5% CO2.",150
Carbamazepine,0.00004744,0.00000526,cMdr1 KO MDCK,7.4,genetically engineered canine P-Glycoprotein (cMdr1) knockout (KO) MDCK cell line,1.03,https://doi.org/10.1021/acs.molpharmaceut.5c00755,beran et al 2025,apical-to-basolateral transwell measurement,"The cells were plated at a seeding density of 340,000 cells/cm2 on porous membrane inserts (Millicell 96-well, 0.4 μm pore size, MilliporeSigma, Burlington, MA) and cultured in the absence of puromycin for 4 days at 37 °C in a humidified atmosphere of 5% CO2.",150
Metoprolol,0.00002611,0.00000531,cMdr1 KO MDCK,7.4,genetically engineered canine P-Glycoprotein (cMdr1) knockout (KO) MDCK cell line,1.15,https://doi.org/10.1021/acs.molpharmaceut.5c00755,beran et al 2025,apical-to-basolateral transwell measurement,"The cells were plated at a seeding density of 340,000 cells/cm2 on porous membrane inserts (Millicell 96-well, 0.4 μm pore size, MilliporeSigma, Burlington, MA) and cultured in the absence of puromycin for 4 days at 37 °C in a humidified atmosphere of 5% CO2.",150
Fluvastatin,0.00000391,0.00000032,cMdr1 KO MDCK,7.4,genetically engineered canine P-Glycoprotein (cMdr1) knockout (KO) MDCK cell line,0.36,https://doi.org/10.1021/acs.molpharmaceut.5c00755,beran et al 2025,apical-to-basolateral transwell measurement,"The cells were plated at a seeding density of 340,000 cells/cm2 on porous membrane inserts (Millicell 96-well, 0.4 μm pore size, MilliporeSigma, Burlington, MA) and cultured in the absence of puromycin for 4 days at 37 °C in a humidified atmosphere of 5% CO2.",150
Propranolol,0.00002399,0.00000402,cMdr1 KO MDCK,7.4,genetically engineered canine P-Glycoprotein (cMdr1) knockout (KO) MDCK cell line,1.22,https://doi.org/10.1021/acs.molpharmaceut.5c00755,beran et al 2025,apical-to-basolateral transwell measurement,"The cells were plated at a seeding density of 340,000 cells/cm2 on porous membrane inserts (Millicell 96-well, 0.4 μm pore size, MilliporeSigma, Burlington, MA) and cultured in the absence of puromycin for 4 days at 37 °C in a humidified atmosphere of 5% CO2.",150
Desipramine,0.0000114,0.00000339,cMdr1 KO MDCK,7.4,genetically engineered canine P-Glycoprotein (cMdr1) knockout (KO) MDCK cell line,0.64,https://doi.org/10.1021/acs.molpharmaceut.5c00755,beran et al 2025,apical-to-basolateral transwell measurement,"The cells were plated at a seeding density of 340,000 cells/cm2 on porous membrane inserts (Millicell 96-well, 0.4 μm pore size, MilliporeSigma, Burlington, MA) and cultured in the absence of puromycin for 4 days at 37 °C in a humidified atmosphere of 5% CO2.",150
Antipyrine,0.00003867,0.00000477,cMdr1 KO MDCK,7.4,genetically engineered canine P-Glycoprotein (cMdr1) knockout (KO) MDCK cell line,1.04,https://doi.org/10.1021/acs.molpharmaceut.5c00755,beran et al 2025,apical-to-basolateral transwell measurement,"The cells were plated at a seeding density of 340,000 cells/cm2 on porous membrane inserts (Millicell 96-well, 0.4 μm pore size, MilliporeSigma, Burlington, MA) and cultured in the absence of puromycin for 4 days at 37 °C in a humidified atmosphere of 5% CO2.",150
Piroxicam,0.00003768,0.00000477,cMdr1 KO MDCK,7.4,genetically engineered canine P-Glycoprotein (cMdr1) knockout (KO) MDCK cell line,0.86,https://doi.org/10.1021/acs.molpharmaceut.5c00755,beran et al 2025,apical-to-basolateral transwell measurement,"The cells were plated at a seeding density of 340,000 cells/cm2 on porous membrane inserts (Millicell 96-well, 0.4 μm pore size, MilliporeSigma, Burlington, MA) and cultured in the absence of puromycin for 4 days at 37 °C in a humidified atmosphere of 5% CO2.",150
Ketoprofen,0.00001055,0.00000077,cMdr1 KO MDCK,7.4,genetically engineered canine P-Glycoprotein (cMdr1) knockout (KO) MDCK cell line,0.56,https://doi.org/10.1021/acs.molpharmaceut.5c00755,beran et al 2025,apical-to-basolateral transwell measurement,"The cells were plated at a seeding density of 340,000 cells/cm2 on porous membrane inserts (Millicell 96-well, 0.4 μm pore size, MilliporeSigma, Burlington, MA) and cultured in the absence of puromycin for 4 days at 37 °C in a humidified atmosphere of 5% CO2.",150
Naproxen,0.0000307,0.00000338,cMdr1 KO MDCK,7.4,genetically engineered canine P-Glycoprotein (cMdr1) knockout (KO) MDCK cell line,0.8,https://doi.org/10.1021/acs.molpharmaceut.5c00755,beran et al 2025,apical-to-basolateral transwell measurement,"The cells were plated at a seeding density of 340,000 cells/cm2 on porous membrane inserts (Millicell 96-well, 0.4 μm pore size, MilliporeSigma, Burlington, MA) and cultured in the absence of puromycin for 4 days at 37 °C in a humidified atmosphere of 5% CO2.",150
Acetaminophen,0.00000956,0.00000123,cMdr1 KO MDCK,7.4,genetically engineered canine P-Glycoprotein (cMdr1) knockout (KO) MDCK cell line,1.2,https://doi.org/10.1021/acs.molpharmaceut.5c00755,beran et al 2025,apical-to-basolateral transwell measurement,"The cells were plated at a seeding density of 340,000 cells/cm2 on porous membrane inserts (Millicell 96-well, 0.4 μm pore size, MilliporeSigma, Burlington, MA) and cultured in the absence of puromycin for 4 days at 37 °C in a humidified atmosphere of 5% CO2.",150
Fedratinib,0.0000013,0.00000032,cMdr1 KO MDCK,7.4,genetically engineered canine P-Glycoprotein (cMdr1) knockout (KO) MDCK cell line,0.87,https://doi.org/10.1021/acs.molpharmaceut.5c00755,beran et al 2025,apical-to-basolateral transwell measurement,"The cells were plated at a seeding density of 340,000 cells/cm2 on porous membrane inserts (Millicell 96-well, 0.4 μm pore size, MilliporeSigma, Burlington, MA) and cultured in the absence of puromycin for 4 days at 37 °C in a humidified atmosphere of 5% CO2.",150
Istradefylline,0.0000303,0.00000556,cMdr1 KO MDCK,7.4,genetically engineered canine P-Glycoprotein (cMdr1) knockout (KO) MDCK cell line,0.62,https://doi.org/10.1021/acs.molpharmaceut.5c00755,beran et al 2025,apical-to-basolateral transwell measurement,"The cells were plated at a seeding density of 340,000 cells/cm2 on porous membrane inserts (Millicell 96-well, 0.4 μm pore size, MilliporeSigma, Burlington, MA) and cultured in the absence of puromycin for 4 days at 37 °C in a humidified atmosphere of 5% CO2.",150
Lemborexant,0.00003441,0.00000486,cMdr1 KO MDCK,7.4,genetically engineered canine P-Glycoprotein (cMdr1) knockout (KO) MDCK cell line,0.9,https://doi.org/10.1021/acs.molpharmaceut.5c00755,beran et al 2025,apical-to-basolateral transwell measurement,"The cells were plated at a seeding density of 340,000 cells/cm2 on porous membrane inserts (Millicell 96-well, 0.4 μm pore size, MilliporeSigma, Burlington, MA) and cultured in the absence of puromycin for 4 days at 37 °C in a humidified atmosphere of 5% CO2.",150
Voriconazole,0.00003775,0.00001316,cMdr1 KO MDCK,7.4,genetically engineered canine P-Glycoprotein (cMdr1) knockout (KO) MDCK cell line,0.99,https://doi.org/10.1021/acs.molpharmaceut.5c00755,beran et al 2025,apical-to-basolateral transwell measurement,"The cells were plated at a seeding density of 340,000 cells/cm2 on porous membrane inserts (Millicell 96-well, 0.4 μm pore size, MilliporeSigma, Burlington, MA) and cultured in the absence of puromycin for 4 days at 37 °C in a humidified atmosphere of 5% CO2.",150
Voxelotor,0.00003177,0.00000821,cMdr1 KO MDCK,7.4,genetically engineered canine P-Glycoprotein (cMdr1) knockout (KO) MDCK cell line,0.62,https://doi.org/10.1021/acs.molpharmaceut.5c00755,beran et al 2025,apical-to-basolateral transwell measurement,"The cells were plated at a seeding density of 340,000 cells/cm2 on porous membrane inserts (Millicell 96-well, 0.4 μm pore size, MilliporeSigma, Burlington, MA) and cultured in the absence of puromycin for 4 days at 37 °C in a humidified atmosphere of 5% CO2.",150
